Dates,"[Timestamp('2019-11-04 00:00:00'), Timestamp('2019-11-11 00:00:00'), Timestamp('2019-11-18 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-12-02 00:00:00'), Timestamp('2019-12-09 00:00:00'), Timestamp('2019-12-16 00:00:00'), Timestamp('2019-12-23 00:00:00'), Timestamp('2019-12-30 00:00:00'), Timestamp('2020-01-06 00:00:00'), Timestamp('2020-01-13 00:00:00'), Timestamp('2020-01-20 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-17 00:00:00'), Timestamp('2020-02-24 00:00:00'), Timestamp('2020-03-02 00:00:00'), Timestamp('2020-03-09 00:00:00'), Timestamp('2020-03-16 00:00:00'), Timestamp('2020-03-23 00:00:00'), Timestamp('2020-03-30 00:00:00'), Timestamp('2020-04-06 00:00:00'), Timestamp('2020-04-13 00:00:00'), Timestamp('2020-04-20 00:00:00'), Timestamp('2020-04-27 00:00:00')]"
Boise,"[83.04747134472693, 67.8049304712672, 69.02968525432328, 75.22106715610205, 59.57392127356908, 56.014748672294225, 83.74083132919583, 83.09851203484385, 77.45090089281426, 77.33707041220535, 74.34097520042519, 0.0, 45.781985495463495, 34.87525726314496, 30.44556083712956, 55.142303173364645, 41.63044703526069, 39.91306913947979, 29.280561667178628, 37.877796495049076, 16.799028394147918, 21.414141099574913, 22.603389560115925, 29.540867387400716, 22.56022555526997]"
Boston,"[77.35132127011066, 77.62995759919323, 80.23768236901418, 94.12023235918535, 77.1239628101681, 69.86038252763865, 83.35041706287268, 94.96976335275411, 90.11500388873571, 77.27022777749369, 81.49516813664663, 3.427762983118905, 60.00979373200953, 56.29541969420025, 51.56483587648962, 93.276723602736, 79.7687494566122, 55.60958312352132, 52.964623030806706, 32.575039911664355, 25.456509468850413, 19.755196326220027, 20.19972624421396, 30.48466795875164, 10.880071034731277]"
Buffalo,"[36.48776526474501, 55.55252373862214, 36.82732240636353, 50.74203562539032, 29.58703376751801, 45.770796784896795, 54.1258327259553, 39.16769164783796, 42.85389750738406, 41.221167856927906, 41.30337990045077, 1.0085053520561271, 40.39670651897085, 40.08990457342021, 33.8329265886715, 41.49816780707581, 35.246387160123426, 50.02279644930661, 33.82637996261494, 23.328456840914622, 24.36364390872341, 27.987769152533108, 27.578086435617514, 15.65694144665918, 4.064569956681975]"
Chandler,"[59.39945237776261, 65.37346389537419, 68.66389903952587, 53.73531680311813, 41.87427414064682, 72.44249342060398, 58.5438615074875, 57.80085047219721, 61.43149236959089, 31.77731093956848, 51.916906231396005, 0.0, 43.2181410534956, 46.648275407131244, 38.33670298701053, 66.47452336546098, 54.582561905609204, 54.019118688284074, 30.573734446275786, 23.525481046417, 11.654696804847244, 13.252740434333546, 28.986162695612933, 10.92583149355041, 1.6998725790970657]"
Charlotte,"[59.91641783845601, 57.42343280612636, 47.149094878340826, 67.78979289534435, 51.82268857232372, 52.45688549242304, 60.397747621305285, 65.19471567629246, 64.04777922282612, 51.23850939031682, 52.573600964833425, 0.4289201427564448, 53.245067799805234, 39.1250075872954, 33.065707374738146, 52.657134613135064, 49.7987405061665, 53.06602918482814, 35.15792803829844, 23.23195821873117, 16.50774611741852, 16.999578813513832, 19.16626015005568, 23.29814616000647, 11.963228096570845]"
Chesapeake,"[41.70261817916805, 58.044835420077675, 38.371720897987416, 38.65825880532834, 41.88819765319288, 39.3868640107415, 48.59418801444105, 47.77257682294022, 38.1985276646963, 37.94922670902642, 32.527446900315645, 0.0, 20.607523465702645, 18.792168138120736, 26.193649139268537, 38.095243140357425, 51.9848329312198, 43.771942929540046, 20.165522103525905, 15.054617398485385, 8.549285781709036, 8.939351549246759, 8.611803634711181, 12.332937278088664, 1.8928787218391532]"
Chicago,"[70.18084753618834, 69.17651802602968, 61.86288530242692, 72.84857483516906, 66.13836759495425, 64.10187341358936, 75.26791779030556, 76.07221962572478, 67.40628080030376, 56.35349563240994, 59.94999342758238, 0.14706279329160266, 55.339527054078886, 48.783947729186366, 34.993873681343274, 61.85383333957007, 60.54856132561096, 46.75101180844382, 32.729288710899205, 21.52826494188235, 19.655379658231784, 17.442697582560825, 18.978752434907705, 22.810621386132087, 5.9209319235811675]"
Chula_Vista,"[60.34589602285144, 72.47886591133921, 51.96434307649506, 73.23478981973784, 69.450966347807, 63.896411347779704, 61.17993873072278, 59.248125864532796, 77.93344369003796, 62.939751350692646, 77.01284823094704, 0.0, 61.02464368374535, 29.706702367992055, 25.6381125593708, 46.00847974543142, 50.551450075602176, 38.05124958918205, 29.2459919815377, 21.099523244438487, 19.185708093803186, 18.57685057297561, 21.26427243724982, 21.958957681796228, 15.429226795689098]"
Cincinnati,"[52.19487151672233, 47.628926409091065, 49.42088409796129, 67.16918287637787, 55.87724172903214, 57.51204283181595, 57.839058685446936, 71.89776216975245, 52.55708485892409, 47.678492419484044, 39.9801459513234, 0.4622984329448066, 39.02672269307842, 36.38014873671807, 16.7126509264927, 46.928238578590104, 42.00615085471488, 47.5415644846511, 31.51088234603384, 15.250758526754415, 10.289790534287732, 9.877543223310807, 11.03666452160075, 13.70038676432082, 5.04737695263708]"
Cleveland,"[56.929243917395546, 54.464623649050885, 38.18158310400289, 62.77871929545441, 53.35793583056342, 58.79410885084097, 56.103928355361525, 57.25518421072889, 54.667282057502405, 54.39691783702009, 51.383854756187134, 0.035128931257539533, 54.141059309363825, 39.7430924749382, 22.852446096252123, 42.51951366619732, 44.011730732182826, 50.279279416996594, 29.84781227916635, 22.200960308972263, 18.50244426577745, 13.041756849062176, 18.335900741830027, 26.952778187063462, 6.596277647390948]"
