Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,avg_USA
2019-07-01,119.25138521446891,55.2020343290115,63.575135788514615,79.18937613845581,84.41423902037269,82.29658059896026,46.531483557416955,86.25360533203931,44.918216295047024,84.59339762040524,76.41301799748643,166.1807412107299,58.304189371420634,82.42444943046486,60.93411909047738,60.17926343570896,75.47114822228588,60.531071871779254,54.34379048495045,63.9634634989965,52.21322625084175,42.539735712652934,64.58266667597015,64.87032039920017,63.860671427970296,61.22736497043597,65.20211568757996,63.33079044257978,71.32303676041543,65.32894218366742,53.1664690638711,55.570386980151866,68.32882827837771,88.31630955757969,71.96763809474423,54.49843056138543,70.61524360740209,66.13459182672268,59.06433358063772,51.57526991873968,45.60007189293761,56.03573435016862,76.50216748368365,70.05675567692208,97.129011060625,73.17950736462707,65.67714538925078,116.79950250153195,62.74685493572687,84.4183902644278,60.47278679904191,57.52450012711125,85.55439347304028,70.00724343035874
2019-07-08,114.83132289545648,55.759557959709035,60.56083792364468,76.542529298393,87.71796188967467,85.38379904856362,48.24850922852,83.5309987150268,58.46246921112167,86.87414747239761,72.64474131522972,165.81929819406264,56.97943624232617,79.87948553332956,61.19495914308029,55.88740261918596,77.68560831064032,59.260945397927046,52.06604332339187,59.98707710275745,56.98537595520708,59.312782218569296,63.228726359739596,72.69238631348513,59.658370804272366,52.575172871230535,80.75876984696896,65.23537511855419,89.81707948215515,65.80184604969709,46.36775339634154,58.69460330147437,73.30764432795436,94.55158792931992,76.84809147230963,56.35842314635305,66.5794476209683,76.31880517768118,62.63414026357667,55.19040033881442,49.356460596118424,54.17723878913143,75.80920455629195,68.68052560746573,98.61875919862,80.98948394383369,67.22432878197347,139.48153211141192,70.84111228424102,80.41444845958148,61.29752176257031,60.4287486984307,84.49701182337866,72.15189225343698
2019-07-15,129.3157127636208,56.04659749889271,53.71163005676323,74.15330989880553,86.27198848794858,77.4534807158989,48.433988754498365,78.57453369214345,48.1617602268953,86.23573025844429,74.45163170211356,162.6971161797037,59.33817657359746,86.23490954955412,62.67901448464427,52.69979288856578,78.57540185102755,54.704493163821205,56.67897901211893,65.58318047624178,53.558824788158645,55.66455092348629,63.28220070776124,67.69571933958564,65.05847917972635,60.3254354007298,71.63336665492831,59.123815203839285,72.49882717264917,71.79711971624793,53.056712959365065,54.76554770909846,66.39898667232822,95.44599609285179,75.78589738343598,54.20795902211841,65.15627569954718,78.50040259507323,59.96551620852947,45.64581136007346,50.877499690134364,56.65868342931442,81.85760851624867,69.16819365733197,93.23747756507187,83.52528348814823,66.28424550182439,31.042257582300905,50.20513091776228,84.52048772898581,60.03588485152513,67.80224067328278,86.4766685486586,69.11812330519666
2019-07-22,112.49925298111248,57.255677527614004,66.35872692964546,71.16565801554471,86.55705427610232,78.8522308314752,51.150230020959604,87.43301893171324,50.24245958561097,87.71839018726936,74.57374711447255,132.96492271365275,62.83173329312568,84.44677923086478,64.13082256007864,54.232647984713154,80.14695303878192,55.948773784820794,54.59514099917217,61.93592725888985,55.461570865126646,49.54698312824521,64.17752476513786,66.64280026040183,66.12997420188884,58.623449408780786,83.78281484104392,64.11484095750252,81.73773858670407,71.43754432292667,62.47770223541063,56.44165749086512,71.0269013676503,88.93565012568673,76.14772700180613,54.06163730678108,63.123740927954884,79.19655796180317,59.63434815625533,48.213905120436586,50.55509226672822,56.13016516929361,72.22645321124064,63.85365904536226,77.88699869455426,74.57109272389978,67.13334724558538,115.36240954795383,52.60645817485956,84.47531897863313,59.98354440685145,59.134726517646534,81.16351627258233,70.01958487836262
2019-07-29,137.78275501649082,53.31384586579894,58.438508479729535,64.55646993282012,90.61641417883268,79.53720143925659,50.33532247941348,82.37864795877867,48.56431778729607,83.16790571500654,72.40076058113095,159.64114438800334,59.23747640884324,77.60894225119449,63.90613414200279,51.36385340033546,77.18847505537026,53.26362729338396,55.80244331835435,58.46897480735607,55.14189804238958,56.59939791802951,60.55795301712928,65.10027285087773,68.02353302353175,55.97513216259586,65.57013318557098,59.522116504551974,81.97249769387841,63.746365329786265,63.106083459583616,54.32070172036688,69.53225412964065,91.19270246451113,75.10787750655516,50.06609641218529,64.2087395427247,85.31490460878892,60.79757797375581,50.98962290620861,50.560152933448784,58.04440091159872,84.45241759601436,61.304780837830286,75.11228966112716,72.61287878249244,66.66415567448885,92.60448554167414,48.99989319103036,85.52757983313364,58.90463300181061,58.10977319158854,77.93652470137401,69.15571786433343
2019-08-05,124.62556373571009,50.484572263139896,57.0638916263641,68.21666389378599,88.690524980687,80.50451591176044,53.409942973588215,93.07987366613892,46.02504837227186,82.41763057532609,68.67116297796365,152.98773008239286,57.23258839705074,87.39815591565268,59.826893091037064,51.89749791916396,77.11831935990526,50.41540966322442,54.86252744045045,59.82552508963738,53.21586255912557,58.89990255258748,61.87569452676858,64.4266387660041,66.07724463425559,49.450489834451005,81.77881650145576,63.40655829815443,72.05210731766644,60.742986215559746,63.54040984777539,55.78862143611058,68.07787186881039,91.76502247018844,74.57654982026315,48.24989172141439,60.30648202789776,81.62370567095381,63.32583408646275,49.03866308175211,47.23210824409483,55.348123622703035,75.24690916102283,60.57064360588239,73.2226781753953,76.5108698062249,66.95830894202892,156.36623042871568,69.19186442730219,82.91393784519742,57.51184291417543,53.432088414523925,63.91447319802835,69.6489333954378
2019-08-12,120.47289541333885,46.18579390435484,52.0905152862975,69.24719929912334,86.48302310618168,75.87190424300799,53.89568798289925,89.75189000453436,43.19168738010354,82.1608060544754,68.87649763433957,167.24428754788406,49.68747832179238,93.18526814713587,59.86216840507351,46.1214878226896,66.30651174197685,44.244991354267285,49.901246093523945,64.52833518903729,57.819443109965455,62.58449112658738,61.00590501216878,62.072918077758075,57.06875519486079,54.558778329181735,62.5874989842136,58.2367766227631,66.78937190138124,57.09262319610581,60.34928544937396,57.41541680910046,59.60190488028564,81.30038766650615,77.65300838887757,50.06452470126201,52.546800712933596,75.31162736069432,63.39454050293281,44.23304299905831,56.629406171199534,52.56924854065196,81.01158523341977,58.136536384362316,72.0918304847687,66.83190116920542,63.72236905259872,112.6616017376545,70.62617880379591,79.9854915315002,64.90606861805652,50.08464594793685,80.4656963884571,67.18338369852181
2019-08-19,104.85956122973651,44.10210309083908,43.28295480202339,66.97666803821537,83.00302538563068,74.16820290819744,51.25348686522929,90.30142488303792,41.49495771279395,79.58937961403136,62.745393442820294,161.65774347846252,47.571448520394384,81.27608991620565,58.05839792124034,41.186988616765355,61.67679957037012,39.74153737250853,44.450243719879246,65.16611346661115,54.265064349022865,67.06664149595511,62.612543180002326,63.97861252573069,50.162676814030036,49.522833793773096,67.61848746858604,51.606648622246105,64.9700212965632,53.7217883927501,61.20193832094166,60.178352732020244,58.380923357154906,81.30005531787614,79.71908418069931,44.949089331082774,45.51235678060935,80.13583384327768,58.72947181524474,32.754992647797145,44.64536017770126,48.42821862181835,61.240737782590934,54.21672343060871,66.10260706439028,69.5868009314902,60.92320895667597,181.8713128912381,60.62930421997813,81.44786790896741,58.29915965551399,49.500482430992506,87.24016455168093,65.19022425366043
2019-08-26,102.61597953505684,52.096536878686564,49.583932509741715,63.82884988555581,82.33064207622222,74.81380513900558,49.552030932277695,81.80648365239541,40.4700487976392,78.24633367221142,64.51776695132007,156.96924830976542,46.116042200308,81.90272680537156,58.88557775966445,44.18971067490591,61.13856165318508,39.51686823233344,42.63956986750962,64.62690034422285,47.69294350483543,63.94439168003933,55.9739658283608,60.29945307511734,54.31849596316879,49.51115734679685,87.88728529525017,50.06368604500339,69.20683097602536,53.09143414947837,49.14963270031229,62.03884248435757,59.6889617571114,85.64222115755125,74.46588001372959,43.852599490145046,54.28244178496429,79.5385656495631,52.36909936417526,41.90295096633203,46.26213195156284,51.788616929708894,70.27979783272754,58.64614283180518,63.53566535054981,69.76378894963338,57.6097724188697,168.38543280098517,74.46396519069373,81.16810129418941,60.02966564635143,38.32930433932752,68.08889831010157,64.88905167841892
2019-09-02,110.19542015736454,45.07045517591978,55.25063658858777,64.10305446976692,81.55309945424929,70.74277004640372,39.093210003506925,78.55805645100848,50.43235455611961,76.53551361735038,65.63800530662142,143.82795054541347,43.827428888269864,63.407027868493536,54.42760906567874,41.55761021029704,63.06919534101781,42.226978867687706,46.262234535339076,57.3655745258002,42.798970507942656,48.181512436401135,52.53314600852743,59.4593838656189,52.43580872190911,53.521353837740925,77.893626117138,49.954510069192025,66.2006319455599,52.147508114784145,52.92823120482613,49.74301232511519,57.79565225520853,83.63430197418269,67.8185734547083,42.31091696745123,53.39573185216649,85.28907693598983,52.29809146215915,46.43851039178993,41.34550519874393,44.845564044777774,69.3393301000965,57.733148750826366,62.4685522258645,68.50156131697463,57.77539482654969,222.70461658100731,61.520988754353326,79.16559289649753,50.769424303910064,53.680455287867495,76.96202156661234,63.90065833919603
