location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
Tampa,70.65239543153857,28.697342006453294,59.38%,87.27%,76.45%,9796,1256850
New Orleans,55.705790863937146,23.77771361452065,57.32%,87.92%,76.11%,16564,3317563
Wichita,38.9875608516088,16.810358719149793,56.88%,87.38%,60.58%,5311,587001
Cleveland,53.0177753763601,23.716526020263025,55.27%,79.57%,69.38%,9145,1606078
Bakersfield,38.98276349896625,20.25897734123276,48.03%,79.06%,87.17%,5257,744264
Aurora,41.98352754361231,14.95360111655166,64.38%,93.46%,85.49%,683,53048
Anaheim,66.01189348294336,26.48371778251534,59.88%,84.01%,73.91%,8430,815954
Honolulu,140.46111805616698,58.59360216873333,58.28%,95.06%,78.49%,11447,901040
Santa Ana,46.029899591929684,21.397490968003687,53.51%,79.39%,77.23%,2770,339622
Riverside,45.34744203361122,22.389795620718466,50.63%,78.54%,79.91%,5744,700165
Corpus Christi,48.962899247932995,31.00892659290461,36.67%,78.28%,75.44%,4960,613801
Lexington,42.91363831519092,17.848232777839613,58.41%,82.21%,78.71%,1176,130253
Stockton,41.024874136868775,21.80262517860165,46.86%,72.39%,70.49%,3294,493371
Henderson,72.60977166472955,26.633952508911484,63.32%,88.08%,81.95%,4970,864237
St Paul,54.42141920502257,17.1618188404944,68.46%,95.25%,85.86%,4184,570074
St Louis,55.28743058515104,20.118300386405238,63.61%,94.36%,81.31%,6863,984607
Cincinnati,55.467942640101874,15.86107428817106,71.40%,88.81%,83.01%,6653,816056
Pittsburgh,53.78432582792178,20.748130024125093,61.42%,93.83%,78.92%,8763,1292351
Greensboro,36.55059560599667,17.573771622690057,51.92%,78.25%,69.97%,6672,1492948
Anchorage,111.69722560002904,30.978168705812937,72.27%,99.29%,57.29%,3310,516699
Plano,71.00420253134108,34.359161132999866,51.61%,90.27%,84.58%,4127,632134
Lincoln,53.85014763613372,25.126190288892012,53.34%,88.92%,64.57%,5574,499163
Orlando,91.4140037440598,40.87792019732407,55.28%,79.42%,74.45%,13039,1552584
