FL,"[59.696009586012465, 52.6691369563969, 54.336351695399294, 57.222397244839094, 59.347279824938184, 48.7292423877116, 52.36802130555421, 52.7660433360876, 54.4746328298309, 47.86610021135056, 63.30462824613285, 63.06842978301262, 60.22307671567354, 61.60384177957308, 62.25792887134911, 60.025370690974995, 61.95029868660582, 63.30147198990286, 64.36592044516738, 66.23410183113073, 64.42129149325434, 63.89070183908085, 65.4405909334687, 67.93929590808925, 67.15316476491425, 65.91379169661639, 65.31171705459015, 63.83009445968936, 65.85000587400233, 64.9127030032942, 62.9545242680338, 62.45786669785322, 61.78571064319148, 60.67964167181568, 59.812688685368656, 57.60895711205447, 61.41539147019065, 58.62396447984638, 60.467520015299705, 59.638120710768156, 57.72909701093907, 60.711655231701094, 58.859851150385296, 58.36167581489868, 59.69028237648611, 58.71250837407282, 55.75046158078575, 62.30968868981464, 56.53399737049385, 59.94755880917553, 59.37874430828207, 61.04381214162002, 59.898964455809725, 51.79289832146793, 55.03083923100903, 46.89112248563893, 43.500613070678746, 57.72421824965468, 56.02586529981348, 51.35619723523747, 39.28644017422918, 29.93261722579016]"
GA,"[53.97782800229996, 47.4944106102171, 46.9368404992776, 52.221019273466084, 54.072820007159756, 43.039888680300606, 46.97646700026539, 46.71362470103435, 47.85872191260211, 40.707645212615034, 60.58788362625256, 56.963957174945286, 52.430269889000975, 57.59169251970824, 53.412196043265475, 52.062173318560006, 51.43974283935129, 50.39426110626482, 58.05232952104232, 54.704861814247074, 58.650342489276255, 61.028062673271904, 59.838224014134475, 59.2523933711233, 62.801868147418226, 58.9819143403416, 56.82738793280807, 56.65065784459655, 56.99057721403158, 57.201647797436245, 55.310263992734114, 53.286025120451676, 54.018224567038615, 46.38286615847388, 49.74267895383184, 49.943382608302535, 48.45182443556533, 48.746815874951544, 47.95734014615733, 49.09133209496813, 49.503388774713954, 49.70010497178252, 48.33324152001402, 48.02758222292147, 48.646135460912106, 47.557284198635095, 47.849257676292936, 54.68305459729494, 47.10603579457311, 52.49157903078449, 53.61154028437323, 52.5897093403239, 54.61323617727811, 46.03810180544882, 45.27564574939079, 40.961907566251284, 37.424399384564, 49.93817264231416, 45.6859038749292, 47.23786876391942, 33.6422016787252, 25.272786906994767]"
HI,"[139.38832394987324, 127.84622718945499, 92.16903959901752, 103.69125331774192, 85.32270503397281, 81.29716405545192, 105.43800004628281, 105.7861840165805, 107.94704736661708, 85.57925626050567, 114.62539910403395, 131.3634037267895, 96.06832531918437, 104.7882468254492, 118.37163967280144, 130.4916948188693, 132.81282219352093, 134.267566585992, 132.61070027061092, 117.2497508161539, 138.83291221173562, 131.88307885365057, 120.02964348736649, 124.57697875142486, 124.29917607123026, 129.4820293985935, 116.83665086117745, 117.65039627532472, 121.05298820608661, 105.11706413879192, 128.35789618151128, 116.57396657873943, 113.15124050245092, 119.58542358923002, 108.24506513913656, 109.10321263430792, 120.0277265987504, 91.95671232277657, 112.01883038687046, 121.02031138981212, 118.73251628002757, 102.83628659953915, 110.04240727547199, 110.75216309396065, 104.42022503680415, 121.86252284412822, 92.69998093206296, 98.84870415550819, 114.79161391813648, 108.7245946957512, 146.63999172970628, 119.07387130630887, 138.26520134632108, 104.49693154633052, 96.47834533145856, 90.31768148459658, 63.10706250631448, 108.37876186909594, 93.34624973063343, 101.75466681509876, 75.67270646497394, 64.60796962383627]"
IA,"[41.7784321265825, 36.79450682691336, 27.70108384176075, 29.23379160698197, 29.258886012046915, 25.544574890236934, 31.513426686628808, 31.221356573625012, 34.22477475557313, 31.17057825408366, 51.03896375381027, 57.82284591355968, 36.51525480948853, 39.27398830178024, 33.87559166386987, 36.22911391416477, 34.5474347730792, 33.843638883519425, 38.578211423551934, 42.30442372820768, 41.41873222641024, 40.76534738528615, 45.82701523837719, 42.94858312743157, 39.19966118225156, 40.763473507284274, 44.56551620915986, 41.173204757048424, 43.106266132782075, 44.29226623299794, 40.40138105597212, 43.698822027992364, 37.39066154933304, 37.22920064202311, 34.19499622389005, 32.91562816289947, 31.791449545967197, 33.292361155600105, 33.45264555384357, 36.902569204005154, 36.23191315517774, 35.96198424317976, 35.81830927744896, 36.40988211379325, 39.63457978156981, 34.58797846848331, 31.914882455615267, 46.416144608338364, 38.63130943093184, 36.11348259133376, 39.687755338863695, 63.38404810195895, 45.82418944188349, 36.12614669323044, 34.47728207810579, 30.00693646907734, 32.905529543580286, 43.03832052558073, 46.150662302803724, 42.79388373347573, 32.46231290355048, 16.52279543073342]"
ID,"[50.78277760200592, 51.88286637406129, 47.6287112987023, 52.35665432352519, 40.31153976013797, 33.52584204511811, 46.49419869883939, 43.903940871966526, 46.32327754093277, 41.88841288397279, 53.909185700950744, 57.37681205379612, 50.480523771652344, 47.00857139098461, 52.2407605361458, 52.889068141258186, 46.34443342204563, 50.04462350177147, 54.30547109290399, 51.99219560121442, 57.89237433227903, 65.23829082583833, 53.00541058167664, 67.9833958974745, 59.483115815016404, 61.854066689918355, 55.83233835677677, 59.43301704102239, 68.7919752517733, 60.00151468359292, 57.04656176260628, 70.63594696735262, 74.35274383517671, 61.645834521258486, 60.73824607495485, 50.18874451079864, 49.89122379013326, 56.4090466218399, 53.84585418223414, 58.948154271620744, 49.58011616944561, 59.376303338259866, 48.332154875056716, 53.8786031162347, 57.68997894750628, 50.67507504801346, 55.51323106827242, 59.442453669338576, 48.81229259478628, 51.04854247376341, 62.343983310191724, 60.354945305112935, 53.8039645328994, 55.22497493915046, 49.81483577808737, 46.09467669147673, 39.64099645293326, 45.66208571246395, 48.57782009260247, 45.75591912174889, 40.36896497776059, 27.780901641781945]"
IL,"[41.24517946368637, 38.37530669512324, 34.993804171229066, 37.3071753950985, 35.633476781277025, 34.1031865943316, 39.36872285811131, 38.06980237658578, 38.569994384574116, 35.64747213440055, 47.77385010080936, 49.439211614555006, 47.59567236538593, 41.35897168692305, 44.38401276834856, 45.355474590764274, 43.08405815809764, 42.321684469824326, 44.411486786503865, 43.39152470600824, 48.57686456500928, 45.08915036849963, 42.79645318005423, 46.82061275047203, 45.43166859974872, 48.07258994709907, 45.06482055243619, 45.74999130029345, 46.87945870979331, 48.412087643963815, 47.505992925157216, 44.200379429699794, 44.34391288763094, 43.67236982647695, 43.21651213885874, 38.722103078988496, 40.41596811604993, 40.80212466524693, 38.941833357649415, 40.87004835594065, 40.96063693872368, 41.760610298321, 40.42065220271929, 38.506528444371426, 42.752700849342425, 42.65766727247895, 40.18689442009296, 45.275298518916294, 39.21251160043336, 41.697397028939974, 45.657236291873645, 45.615040811831676, 44.64597958307965, 37.145806912547826, 38.524720302084056, 34.36935489938387, 31.031099022659806, 40.731858259168476, 41.085800024449405, 36.63889285983767, 22.49124341473782, 15.439419265413306]"
IN,"[36.572126979413106, 28.020950261890825, 26.805414885972137, 26.87821993509481, 29.168034905635338, 24.32889251010212, 30.796183250604464, 31.13258668001533, 31.833954418033592, 33.18006566422848, 50.01869492540824, 40.68937052950636, 54.143088487303494, 42.795424240340026, 35.80023160591973, 31.44136685105027, 33.79780413125317, 33.97813386002193, 35.935744243797345, 38.94336394083229, 38.10677487320254, 38.43865407187417, 39.505955749555696, 42.81496578968743, 43.447279766713635, 40.02087585336548, 44.889682460513846, 41.1028253206894, 39.6498200252822, 40.923005808102566, 37.321526040715156, 38.68308294135219, 34.022643016076586, 31.22961920448204, 33.61738946254056, 29.475495516713767, 28.42310356668627, 29.620236362912717, 32.89840667399141, 33.26285548741297, 37.81164933179125, 37.49832192766311, 33.90623966441696, 29.66764394969864, 32.1465879280867, 30.72501311109583, 31.033419154948223, 36.51177712125862, 25.857309027785234, 31.599087070511366, 33.72525344266258, 37.02448369216717, 40.17400046769017, 31.99933438889413, 29.765702339576286, 26.580257279052987, 23.441693430033947, 32.42534034032389, 32.52728191804192, 33.31378010151706, 24.549870453292037, 14.058550839368193]"
KS,"[49.68656734968514, 47.93966266602808, 44.21168177214563, 44.03067987836294, 38.497725862662406, 36.72782827876827, 43.07817204153758, 42.317515537634385, 43.559038846941604, 56.01717412473429, 71.97955596637291, 51.72930961909065, 53.221120186690676, 52.798728874821606, 51.41783346277943, 52.67811653038598, 52.396456554109115, 55.05008454887486, 51.633386796597605, 52.913851384481184, 61.294851790336494, 59.87886389287037, 55.178803383242524, 58.409877407998295, 59.343672105875996, 59.49506851910574, 56.440278856123506, 60.41997123016848, 58.86434184018493, 62.21734899154136, 57.722871172549716, 57.245960800590446, 51.0361942405503, 47.08391959594123, 44.5562934093374, 46.625475382480246, 50.012403693557815, 45.13091411082402, 45.098239470205144, 47.97682448971435, 46.48854326306911, 46.47899628009152, 48.25681382111513, 42.06987503790323, 53.39132152641543, 47.237907848068026, 53.10857605586073, 59.07054666562209, 41.278423261468355, 49.85425273148699, 48.0217093632088, 53.19367923031893, 57.97307588273974, 43.713730224847886, 42.58291702000377, 44.03195167057054, 38.8076833803752, 45.028213033280004, 45.89656424048293, 43.9591092651364, 28.229280040037317, 19.11293329203204]"
KY,"[34.508703606759504, 27.363295119581217, 27.715280818512213, 30.625332034211468, 28.51876143587203, 27.404325106475987, 31.168681087141213, 29.80601509827844, 31.465455093544445, 28.834237899168897, 41.21274911819795, 34.242538734672706, 38.6251081248817, 42.227887696980304, 32.888049978937076, 29.996218154632963, 30.43529955957129, 28.956511802596307, 34.45197231416153, 39.008661359204346, 41.52524962711919, 35.74313866337835, 37.455582791946114, 39.72842203048642, 42.0042404220229, 43.10988880214911, 43.3872627393888, 41.37992302686825, 39.43580342777401, 39.63012192348515, 39.3906831260935, 36.939821963022816, 32.89554753475497, 29.17188599214502, 30.58142239769511, 30.863556335516424, 31.72930353058159, 33.94243573433384, 33.391597026227174, 36.57025049724613, 37.83021229882602, 35.10567682063427, 29.958036928989344, 34.798373305729164, 34.742414707154296, 31.01094352048253, 28.825710983185395, 35.10373158960397, 32.29344491380263, 32.21746604974265, 37.43081862982208, 38.163856051749356, 42.08188597637429, 27.094611519992608, 30.79372564443921, 25.264477751215495, 24.66097838702785, 29.43559168919817, 31.72743571179363, 32.49581715830078, 18.97639182699757, 13.988475356126829]"
LA,"[42.150496085548994, 33.42550421341443, 30.85289600980628, 30.67051406853917, 28.99415863791243, 27.329680499546885, 30.220773500264716, 30.007532288918352, 33.42259710973842, 30.011095199834276, 35.19838302793988, 34.55243760311483, 35.785610473268584, 34.54122826355596, 37.38498962126967, 43.394532201895494, 41.589965742231456, 37.80894527833325, 37.33459383079728, 42.67602138425403, 46.353361629659254, 45.34380021283062, 41.15766262729901, 42.89233379659853, 43.25726005210501, 43.764803213739775, 42.5968713672666, 40.69424722462613, 45.26417978391926, 42.996234612990676, 42.0484725097595, 41.25855117807506, 38.55153519971754, 35.78725119201498, 33.6223627519101, 35.674163611062724, 34.75938617485406, 36.53829868438103, 35.338646440021854, 32.89416651698301, 34.78422967040652, 38.079071568547405, 32.255546512043914, 32.204530346855414, 34.10860128045437, 33.55909562090617, 31.818670378086342, 42.139093016586216, 36.37975151245124, 36.75463691617618, 39.33592240548847, 41.36817675774231, 40.51647549958553, 35.089013307514776, 32.96736210465111, 26.627523194612788, 24.934328977213717, 39.399871697324095, 32.04756839561968, 29.399740617333627, 26.67334896352748, 16.624502041979248]"
MA,"[40.119340676451564, 39.486822058394644, 41.008233282146186, 42.2900911588257, 40.789797262133504, 37.751097304933076, 46.01682129851236, 44.201016080793764, 42.241175846313936, 38.69817165158697, 51.3420333166148, 45.59800449275849, 42.10947735775553, 47.82710997552638, 50.63908818051464, 47.37150327531065, 41.02514426650435, 44.98752306015318, 48.76370079040734, 45.503846363860944, 50.66677087708704, 46.33822036673615, 43.74128735956957, 44.275780729999894, 46.27824235635286, 46.27599451199035, 47.325810652114676, 44.42055522923736, 49.03598856720225, 44.527126151219356, 40.38934841180824, 44.05241435415105, 46.01343902988704, 45.567940010323156, 49.332748260136356, 42.35496864915306, 38.63161651963647, 39.45769043599857, 42.828272170896796, 42.31950229691558, 42.40159878725602, 46.92239310080633, 42.05900162884721, 42.84654068858038, 43.20575920478782, 42.66280707434722, 40.075975891217595, 42.47226947565146, 43.74030295737322, 41.371709780765094, 41.58429909314939, 47.798209994390355, 46.076525577318534, 42.474120047822204, 46.02963320816236, 32.71411793890704, 30.74757019772249, 50.0237835500896, 40.29366882073443, 33.09846296295271, 23.57947886866933, 13.598647386098973]"
MD,"[31.60908068434695, 29.703379058777323, 28.46669579958742, 30.385509166748378, 27.65074330268591, 25.21502389230177, 30.547164074080076, 29.75399882724413, 31.81143815721604, 28.41071370260013, 42.359398041111724, 45.054588869648285, 39.11658244529431, 36.45911793638585, 37.712663930047576, 35.424534598583385, 39.2473945042762, 35.871155076819, 39.184145327361115, 38.08979591347667, 41.98191159257328, 38.50151975857614, 37.90664918310229, 38.37240526115467, 40.29599853609534, 39.96439146823539, 39.91696358452189, 42.53671968579367, 38.607414337798865, 40.2011478412667, 38.87187033984561, 42.1244214821006, 41.896442164686995, 40.827015264642675, 35.72134077775757, 31.468552835542088, 32.735177270790004, 34.01810723098346, 33.04979989534205, 31.800708872082573, 33.500908572120125, 34.662124329228384, 36.08896566399224, 33.784818882606906, 37.263272161827395, 35.52019369446745, 30.649249771820067, 37.99133769166324, 34.6175368016809, 32.450501174446146, 34.72711893941026, 34.37981184443378, 34.16198882814197, 30.4893968891116, 31.77564834241504, 30.32230511035252, 23.68872285361571, 30.466553709021273, 31.296350521067513, 25.391764348222146, 17.23932100910685, 12.378418176834106]"
ME,"[40.24165748711924, 42.891967058564376, 43.17167322452858, 46.678736153147504, 50.15148857819714, 45.20809699652446, 44.56941159903414, 46.04526001550723, 32.963482152231265, 46.545359697738036, 67.00740009319192, 68.21917904605678, 53.3348074302865, 44.90805663750664, 55.17346618791688, 42.55062283569741, 44.135990423296136, 51.75942371076511, 38.66697572140599, 37.217714127046534, 44.80746577261367, 47.427656188365326, 44.63093662570868, 47.7983131460189, 49.89675049250404, 51.91304548224128, 35.965454053996346, 42.5909370386568, 40.797564206541416, 35.24705745029004, 42.9483385388293, 46.19082731966208, 53.892730880708285, 56.49263788973404, 51.66574496879143, 38.889470670376156, 51.55971892252287, 53.22581397142191, 48.19812419467996, 48.580481048576104, 45.80560612662959, 48.734999522637395, 55.81532541036992, 49.01766134998311, 49.70527888095224, 40.22607704157101, 45.45703968424578, 43.24389035855072, 53.374853426919024, 41.2600591324487, 39.9839251963375, 46.73794116126223, 36.17921952951832, 46.732712135687315, 50.08937565372625, 41.834438779264325, 39.76770002819872, 46.60454375908238, 47.438502813864204, 43.01117663238208, 34.02696350071566, 20.358182714017662]"
MI,"[42.5744920588612, 38.705217245322, 37.84069609374307, 37.23764885340356, 35.84386599780769, 31.74424127101544, 37.18770774820206, 40.249308987569826, 49.42139166544288, 41.164172698467866, 45.39576710131943, 46.251000757041176, 52.21407171053311, 53.17358737026946, 45.639511822806064, 41.90873180694698, 42.71418451796733, 42.68684522884487, 43.63647855782129, 46.783361200924155, 47.35929865072339, 44.157895409793376, 44.254307283746016, 46.14411520036562, 46.97249628258393, 48.47501906833161, 47.306127329607904, 45.94771855909771, 47.10135862760245, 47.023363572817296, 45.806133445647156, 45.338350638660934, 44.47784638200687, 45.53931836346815, 42.28887111256022, 37.791514781182705, 42.26224616330262, 41.699864743787735, 40.64165894137396, 39.23539109847025, 41.10443247368558, 43.297460549978354, 42.00524004263626, 40.34849943924828, 39.16910780198115, 39.106947119603106, 40.17325681852547, 42.73192348075622, 38.4721683877826, 40.724092184580776, 43.2000171080157, 45.65366074336236, 45.54001724223337, 37.20672031173576, 39.746543449449504, 38.39671147029244, 33.93081082180588, 47.8873321476888, 47.80860301199464, 38.64047879667374, 24.648592995613946, 19.585168464420107]"
