Dates,"[Timestamp('2019-11-04 00:00:00'), Timestamp('2019-11-11 00:00:00'), Timestamp('2019-11-18 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-12-02 00:00:00'), Timestamp('2019-12-09 00:00:00'), Timestamp('2019-12-16 00:00:00'), Timestamp('2019-12-23 00:00:00'), Timestamp('2019-12-30 00:00:00'), Timestamp('2020-01-06 00:00:00'), Timestamp('2020-01-13 00:00:00'), Timestamp('2020-01-20 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-17 00:00:00'), Timestamp('2020-02-24 00:00:00'), Timestamp('2020-03-02 00:00:00'), Timestamp('2020-03-09 00:00:00'), Timestamp('2020-03-16 00:00:00'), Timestamp('2020-03-23 00:00:00'), Timestamp('2020-03-30 00:00:00'), Timestamp('2020-04-06 00:00:00'), Timestamp('2020-04-13 00:00:00'), Timestamp('2020-04-20 00:00:00'), Timestamp('2020-04-27 00:00:00')]"
GA,"[63.27152328839123, 62.25687212747385, 61.53484685596526, 72.23112080607405, 60.12835725933215, 66.24524251167907, 69.56920041105442, 67.81921985538168, 69.27004367034483, 58.75575536606227, 58.64668432540528, 6.287189772971869, 53.81366942791482, 48.227249154220075, 42.43836756983412, 62.80256286356454, 58.50143419487264, 60.73629816965915, 43.30398362117242, 30.965170762059284, 22.174663277922196, 22.047900374609213, 28.69558222610582, 28.94434116033473, 13.63083351301832]"
HI,"[149.27385530963855, 162.24049707094596, 127.00367843945071, 126.2612967558507, 152.84824582859406, 146.65501449300388, 194.7139455770437, 163.89530904640836, 173.00383182124187, 156.79594249421783, 134.5825783881843, 3.8045740757517983, 120.51054277995743, 94.20788894956642, 74.17261656838905, 135.0251523314887, 135.089733767591, 142.45973418750367, 108.70521333703793, 87.68675194925156, 51.60246545606026, 61.367970513569155, 63.32797048828936, 69.63555382741, 52.91278787277178]"
IA,"[50.23073204504642, 48.06805903385442, 44.42718046494907, 63.72805261023221, 48.92891733719305, 48.921865616161405, 54.90903081230152, 84.99856435325364, 67.6017662596364, 48.35939638729979, 47.45090125143315, 0.0822321215697553, 44.99913270880287, 38.775102297842004, 38.45425794512007, 56.43845001566675, 57.59110766959055, 57.12422029172163, 47.43010777500081, 21.3812024683975, 14.390763253854995, 15.145972445961352, 17.605527029241927, 17.86784175439316, 10.287530341147043]"
ID,"[79.76224142713514, 68.52886602131254, 75.88536583326429, 76.64188927322022, 66.88980637109286, 65.61422907531798, 79.6757588937955, 84.52496453814281, 72.00128216848367, 72.65436468149554, 66.32682001517104, 0.0, 58.27245906379978, 56.55641494832295, 43.655354227767965, 57.34764062665439, 61.573509952133676, 57.518268044649275, 52.47676841794289, 37.99560874267108, 24.45082142980297, 32.08106740834445, 31.176134356847143, 32.973129295030276, 22.359530872552327]"
IL,"[58.05983361145663, 56.642212635893905, 54.370356505703576, 59.79116776951753, 53.117436711897504, 56.575720962262324, 61.34863432057939, 62.06618978613287, 61.274658837670145, 51.59281633037502, 50.70449928091468, 6.782860964264381, 47.950787798751115, 41.809755017425, 33.856719921343654, 54.88270695520785, 56.4441795236514, 48.49902866981184, 32.11324750899737, 21.241362490483013, 17.988657847339095, 16.24669859672785, 18.42896218031221, 20.067832859892093, 9.544235858175695]"
IN,"[43.19906848390707, 41.60613463258731, 40.928197284883474, 48.95693236645982, 36.88305639974471, 40.59420808721125, 45.9287601526185, 50.220912969202566, 55.26004048768586, 41.66177640683671, 38.79775138421503, 1.3754016130963551, 35.90030443877571, 31.919069770507054, 28.251306893586463, 42.435256363723724, 44.90692498510207, 45.09217331536782, 34.06481508985827, 18.461492856133578, 13.082800204616575, 15.22908471447025, 15.399355508069165, 15.692383820449605, 8.134880403952026]"
KS,"[65.20252244202703, 63.98269116498896, 69.18727155979478, 78.89847784438786, 55.69634432206434, 64.7703973729373, 61.29059204442546, 72.99026090867694, 76.31077250805916, 55.514452329229755, 56.629841561326714, 2.0795815569308003, 61.246661565973746, 51.20486612734268, 40.65067501667016, 65.53280563011995, 59.510091202221616, 59.493929363827064, 36.61866010932829, 24.605811723140807, 19.784865801295947, 20.619580842086485, 22.057149625274782, 26.85063981392221, 11.759766384265687]"
KY,"[46.87395774651513, 40.12945354704009, 38.33823784993481, 46.94844828229822, 42.60462725779346, 42.35632644371804, 51.66763334451814, 49.239104205007216, 55.59862211190959, 37.377103302939894, 39.34219876441093, 2.5197830038862503, 35.69484298548785, 32.74416498115397, 22.06002056336569, 39.01593468523974, 41.4568311076209, 43.62703650122878, 26.141383990284638, 18.811820483959, 13.943994509479127, 13.685584187358375, 14.34328172693716, 14.576344603917534, 5.634754206129407]"
LA,"[43.04984568342636, 43.750020277752675, 40.20537890606874, 53.48612013262567, 47.548748921853225, 45.70936803989601, 50.88483990563436, 54.55832668777463, 52.05606647434229, 43.94825706960891, 43.29230727482376, 6.185267235021656, 34.10497288711832, 31.40371451306293, 27.249046319051036, 51.83718735936238, 40.239517713611534, 36.59721258911138, 32.79017740048242, 20.043290693746904, 17.220357242783233, 16.249254235020693, 18.495945758612553, 22.40992397143828, 8.523195834430936]"
MA,"[61.368781544396974, 60.87299298088607, 57.09604116309991, 60.31275229719859, 57.84308520430436, 53.530932519700926, 59.42936076231897, 62.32986224953576, 65.19148993126655, 58.0811838911639, 61.87106393259381, 5.0163207128907965, 48.00098655439639, 42.703571756845015, 36.99727464046689, 65.62834552346587, 55.25176882640017, 45.713421195116155, 33.501670990952306, 19.045446908550765, 15.673441794037096, 15.675970116815753, 15.621144376515836, 17.081561343134943, 6.8510823211964285]"
